t1,12.67
t2,11.8922
t3,11.8033
t4,12.1422
t5,12.2533
t6,12.5911
t7,12.6111
t8,12.6256
t9,11.9378
t10,12.5489
t11,1.66667
t12,1
t13,1.08333
t14,1.25
t15,1.25
t16,1.33333
t17,1.33333
t18,1.33333
t19,1.08333
t20,0.75
t21,1.09091
t22,1
t23,1.27273
t24,0.545455
t25,1.18182
t26,1.45455
t27,0.909091
t28,0.727273
t29,1.09091
t30,1
t31,1.36364
t32,1.45455
t33,1
t34,1.18182
t35,1.27273
t36,1.36364
t37,1.09091
t38,1.36364
t39,0.909091
t40,1.45455
t41,1.36364
t42,1.45455
t43,1.27273
t44,1.18182
t45,0.727273
t46,0.909091
t47,1.27273
t48,1.36364
t49,1.36364
t50,1.09091
t51,1.54545
t52,1.27273
t53,1
t54,0.909091
t55,1.27273
t56,1.27273
t57,1.27273
t58,1.27273
t59,1.45455
t60,1
t61,1.09091
t62,1.36364
t63,1.18182
t64,1.18182
t65,1.36364
t66,1.09091
t67,1.36364
t68,1
69,1.27273
t70,1.36364
t71,1.09091
t72,0.727273
t73,1.27273
t74,1.36364
t75,1.09091
t76,1.27273
t77,1.18182
t78,1.36364
t79,1.27273
t80,1.18182
t81,1.27273
t82,1.18182
t83,1.36364
t84,1.18182
t85,1.36364
t86,1.18182
t87,0.818182
t88,1.27273
t89,1.27273
t90,1.27273
t91,1.36364
t92,1.27273
t93,1.36364
t94,1.27273
t95,1.45455
t96,1.18182
t97,1.45455
t98,0.909091
t99,1.36364
t100,0.909091
