t1,8.02667
t2,10.3033
t3,9.00889
t4,13.6044
t5,9.23
t6,11.7567
t7,9.15
t8,14.9422
t9,11.5389
t10,11.9344
t11,14.5
t12,5.25
t13,15.0833
t14,5.16667
t15,17
t16,20.5
t17,2.08333
t18,14.75
t19,10
t20,4.5
t21,14.4545
t22,15.4545
t23,17.1818
t24,9.36364
t25,14.4545
t26,11.9091
t27,16
t28,1.90909
t29,3.54545
t30,16.1818
t31,5.09091
t32,6.36364
t33,4.18182
t34,20.7273
t35,16.6364
t36,1.81818
t37,14.2727
t38,4
t39,4
t40,16.4545
t41,3.63636
t42,18.5455
t43,20.4545
t44,6.63636
t45,20.7273
t46,14.4545
t47,14.9091
t48,20.5455
t49,12.7273
t50,15.7273
t51,7
t52,20.4545
t53,14.5455
t54,16.6364
t55,16.7273
t56,14.4545
t57,16.2727
t58,16.6364
t59,10.8182
t60,2
t61,1.27273
t62,14.9091
t63,1.54545
t64,15.5455
t65,17.0909
t66,13.4545
t67,4
t68,16.8182
t69,17.0909
t70,19
t1,20.0909
t72,17.1818
t73,4.54545
t74,4.363647
t75,1.36364
t76,15.0909
t77,1.18182
t78,3.90909
t79,20.4545
t80,4.45455
t81,7.63636
t82,3.90909
t83,4.27273
t84,3.18182
t85,1.36364
t86,5.36364
t87,1.45455
t88,16.3636
t89,2.45455
t90,3.72727
t91,2.63636
t92,15.5455
t93,9
t94,11.9091
t95,6.45455
t96,12.0909
t97,4.81818
t98,3.90909
t99,4.09091
t100,16.5455
